Effective date ,S&P 500
22/7/2020,3276.02
23/7/2020,3235.66
24/7/2020,3215.63
27/7/2020,3239.41
28/7/2020,3218.44
29/7/2020,3258.44
30/7/2020,3246.22
31/7/2020,3271.12
3/8/2020,3294.61
4/8/2020,3306.51
5/8/2020,3327.77
6/8/2020,3349.16
7/8/2020,3351.28
10/8/2020,3360.47
11/8/2020,3333.69
12/8/2020,3380.35
13/8/2020,3373.43
14/8/2020,3372.85
17/8/2020,3381.99
18/8/2020,3389.78
19/8/2020,3374.85
20/8/2020,3385.51
21/8/2020,3397.16
24/8/2020,3431.28
25/8/2020,3443.62
26/8/2020,3478.73
27/8/2020,3484.55
28/8/2020,3508.01
31/8/2020,3500.31
1/9/2020,3526.65
2/9/2020,3580.84
3/9/2020,3455.06
4/9/2020,3426.96
8/9/2020,3331.84
9/9/2020,3398.96
10/9/2020,3339.19
11/9/2020,3340.97
14/9/2020,3383.54
15/9/2020,3401.2
16/9/2020,3385.49
17/9/2020,3357.01
18/9/2020,3319.47
21/9/2020,3281.06
22/9/2020,3315.57
23/9/2020,3236.92
24/9/2020,3246.59
25/9/2020,3298.46
28/9/2020,3351.6
29/9/2020,3335.47
30/9/2020,3363
1/10/2020,3380.8
2/10/2020,3348.44
5/10/2020,3408.63
6/10/2020,3360.95
7/10/2020,3419.45
8/10/2020,3446.83
9/10/2020,3477.13
12/10/2020,3534.22
13/10/2020,3511.93
14/10/2020,3488.67
15/10/2020,3483.34
16/10/2020,3483.81
19/10/2020,3426.92
20/10/2020,3443.12
21/10/2020,3435.56
22/10/2020,3453.49
23/10/2020,3465.39
26/10/2020,3400.97
27/10/2020,3390.68
28/10/2020,3271.03
29/10/2020,3310.11
30/10/2020,3269.96
2/11/2020,3310.24
3/11/2020,3369.16
4/11/2020,3443.44
5/11/2020,3510.45
6/11/2020,3509.44
9/11/2020,3550.5
10/11/2020,3545.53
11/11/2020,3572.66
12/11/2020,3537.01
13/11/2020,3585.15
16/11/2020,3626.91
17/11/2020,3609.53
18/11/2020,3567.79
19/11/2020,3581.87
20/11/2020,3557.54
23/11/2020,3577.59
24/11/2020,3635.41
25/11/2020,3629.65
27/11/2020,3638.35
30/11/2020,3621.63
1/12/2020,3662.45
2/12/2020,3669.01
3/12/2020,3666.72
4/12/2020,3699.12
7/12/2020,3691.96
8/12/2020,3702.25
9/12/2020,3672.82
10/12/2020,3668.1
11/12/2020,3663.46
14/12/2020,3647.49
15/12/2020,3694.62
16/12/2020,3701.17
17/12/2020,3722.48
18/12/2020,3709.41
21/12/2020,3694.92
22/12/2020,3687.26
23/12/2020,3690.01
24/12/2020,3703.06
28/12/2020,3735.36
29/12/2020,3727.04
30/12/2020,3732.04
31/12/2020,3756.07
